Numero do Sujeito,1a. Doença,Idade 1a. Doença,Tempo 1a Doença,Sexo,UF Nascimento,UF,Formação,Atividade,Escolaridade,Estado Civil,Religião,Outro Idioma,Análise do Contexto,Autoconfiança,Autocontrole,Conquistar e Manter Pessoas,Empatia,Leitura Corporal,Otimismo com a Vida,Sentido da Vida
13541,sequestro relâmpago na adolescência,18 - 30 anos,Meses,Feminino,SP,SP,Executiva de Contas (Comercial),Executiva de Contas (Comercial),Pós-Graduação,Solteiro,Evangélico,Sim,Excelente no estresse,Fraca no estresse (PC-I),Excelente no estresse,Fraca diante do impacto do estresse (PC-I),Excelente no estresse,Forte no estresse (PC-I),Excelente no estresse,Moderada no estresse (PC-I)
13542,DEPENDENCIA QUIMICA DE DOLANTINA (OPIÓIDE MEDICAMENTOSO),31 - 49 anos,Mais de um ano,Masculino,PR,SP,MEDICO,ENDOSCOPISTA,Pós-Graduação,Casado,Evangélico,Sim,Moderada no estresse (PC-P),Excelente face ao estresse,Forte no estresse (PC-P),Forte diante do impacto do estresse (PC-I),Moderada no estresse (PC-I),Moderada no estresse (PC-P),Moderada no estresse (PC-I),Fraca no estresse (PC-I)
13543,"Conflitos com a família. Como consequência, fiquei num nível de ansiedade grande.",18 - 30 anos,Mais de um ano,Feminino,AC,AC,,,Superior Completo,Solteiro,Católico,Não,Boa no estresse (PC-P),Moderada no estresse (PC-P),Forte no estresse (PC-I),Moderada diante do impacto do estresse (PC-I),Excelente no estresse,Boa no estresse (PC-P),Forte no estresse (PC-I),Excelente no estresse
13544,Corte no pulso direito brincando,7 - 12 anos,Mais de um ano,Feminino,SP,SP,Psicologia,Coach,Pós-Graduação,Casado,Outro,Sim,Moderada no estresse (PC-P),Excelente face ao estresse,Excelente no estresse,Forte diante do impacto do estresse (PC-I),Excelente no estresse,Boa no estresse (PC-P),Excelente no estresse,Fraca no estresse (PC-I)
13545,Divorcio,31 - 49 anos,Mais de um ano,Feminino,SP,SP,Letras,Nao trabalho,Superior Completo,Divorciado,Evangélico,Não,Boa no estresse (PC-P),Moderada no estresse (PC-P),Fraca no estresse (PC-I),Forte diante do impacto do estresse (PC-I),Fraca no estresse (PC-I),Fraca no estresse (PC-P),Excelente no estresse,Excelente no estresse
13546,estupro,18 - 30 anos,Um ano,Feminino,RJ,RJ,Engenharia,Consultor,Pós-Graduação,Solteiro,Outro,Sim,Excelente no estresse,Excelente face ao estresse,Fraca no estresse (PC-I),Forte diante do impacto do estresse (PC-I),Forte no estresse (PC-I),Boa no estresse (PC-I),Excelente no estresse,Moderada no estresse (PC-I)
13547,Depressão,18 - 30 anos,Meses,Masculino,SP,SP,Comunicação Social,Cineasta,Superior Completo,Solteiro,Outro,Sim,Moderada no estresse (PC-P),Excelente face ao estresse,Boa no estresse (PC-P),Moderada diante do impacto do estresse (PC-P),Moderada no estresse (PC-P),Boa no estresse (PC-P),Boa no estresse (PC-P),Boa no estresse (PC-P)
13548,Aborto,18 - 30 anos,Mais de um ano,Feminino,SP,SP,Psicologia,Educação,Pós-Graduação,Solteiro,Católico,Não,Boa no estresse (PC-P),Boa no estresse (PC-I),Excelente no estresse,Excelente face ao impacto do estresse (PC-E),Fraca no estresse (PC-I),Boa no estresse (PC-P),Fraca no estresse (PC-I),Forte no estresse (PC-I)
13549,Bebedeira do meu pai que fez ele se envolver com prostitutas e gastar tudo o que não tinha,18 - 30 anos,Meses,Feminino,SP,SP,Ciências Contábeis,Auditoria Interna Banco Itaú,Superior Completo,Casado,Católico,Sim,Boa no estresse (PC-P),Moderada no estresse (PC-P),Boa no estresse (PC-P),Fraca no estresse (PC-P),Moderada no estresse (PC-P),Boa no estresse (PC-P),Boa no estresse (PC-P),Excelente no estresse
13550,,,,Masculino,SP,SE,Engenheiro,,Pós-Graduação,Casado,Católico,Sim,Forte no estresse (PC-I),Excelente face ao estresse,Excelente no estresse,Boa face ao impacto do estresse (PC-I),Moderada no estresse (PC-I),Boa no estresse (PC-I),Moderada no estresse (PC-I),Fraca no estresse (PC-I)
13551,"Minha saída quando trabalhava no Yahoo, foi em uma situação de desentendimento com meu chefe à época e realmente ficou um clima muito chato que acho q",18 - 30 anos,Mais de um ano,Masculino,PE,SP,Administrador,Executivo de Vendas de Publicidade Online,Pós-Graduação,Casado,Outro,Sim,Boa no estresse (PC-P),Fraca no estresse (PC-P),Boa no estresse (PC-P),Moderada diante do impacto do estresse (PC-I),Forte no estresse (PC-I),Fraca no estresse (PC-P),Fraca no estresse (PC-P),Fraca no estresse (PC-P)
13552,A doença da minha Mãe,Até 6 anos,Mais de um ano,Masculino,AC,SP,Estudante,Estudante,Ensino Médio,Solteiro,Outro,Não,Moderada no estresse (PC-P),Moderada no estresse (PC-I),Boa no estresse (PC-P),Moderada diante do impacto do estresse (PC-I),Moderada no estresse (PC-P),Boa no estresse (PC-P),Boa no estresse (PC-P),Forte no estresse (PC-P)
13553,,,,Masculino,SP,SP,,Auditor,Pós-Graduação,Casado,Evangélico,Não,Boa no estresse (PC-P),Boa no estresse (PC-P),Excelente no estresse,Excelente face ao impacto do estresse (PC-E),Boa no estresse (PC-P),Forte no estresse (PC-P),Boa no estresse (PC-P),Boa no estresse (PC-P)
13554,Abusado por um maior de idade sem vinculo familiar.,7 - 12 anos,Meses,Masculino,SP,SP,Engenheiro de Telecom,Empresário - Ramo Automação,Superior Completo,Casado,Católico,Sim,Excelente no estresse,Fraca no estresse (PC-I),Excelente no estresse,Boa diante do impacto do estresse (PC-P),Fraca no estresse (PC-P),Boa no estresse (PC-P),Forte no estresse (PC-I),Boa no estresse (PC-P)
13555,,,,Feminino,SP,SP,Gerente de Contas,Yahoo,Superior Completo,União Estável,Católico,Sim,Boa no estresse (PC-P),Boa no estresse (PC-P),Boa no estresse (PC-P),Forte diante do impacto do estresse (PC-P),Boa no estresse (PC-P),Boa no estresse (PC-P),Boa no estresse (PC-P),Forte no estresse (PC-I)
13556,Cirurgia na coluna,31 - 49 anos,Mais de um ano,Masculino,SP,SP,Gestão empresarial,Coordenador de RH,Superior Completo,Casado,Católico,Não,Forte no estresse (PC-I),Forte no estresse (PC-I),Forte no estresse (PC-I),Forte diante do impacto do estresse (PC-I),Forte no estresse (PC-I),Boa no estresse (PC-P),Forte no estresse (PC-I),Boa no estresse (PC-P)
13557,"cancer, perda da maeaos 19 anos",31 - 49 anos,Meses,Feminino,DF,DF,Bacharel em ciências contábeis e direito,Servidora pública e Coach,Pós-Graduação,Divorciado,Evangélico,Não,Boa no estresse (PC-P),Excelente face ao estresse,Excelente no estresse,Forte diante do impacto do estresse (PC-I),Forte no estresse (PC-I),Boa no estresse (PC-P),Moderada no estresse (PC-I),Excelente no estresse
13558,Perda da minha irmã que morreu de câncer aos 35 anos,31 - 49 anos,Meses,Masculino,SP,SP,Eng Mecânico,Gerente de Produto,Pós-Graduação,Casado,Evangélico,Sim,Excelente no estresse,Forte no estresse (PC-I),Forte no estresse (PC-P),Excelente face ao impacto do estresse (PC-E),Excelente no estresse,Boa no estresse (PC-P),Excelente no estresse,Moderada no estresse (PC-P)
13559,Separação,31 - 49 anos,Mais de um ano,Feminino,SP,SP,Técnica em Artes Gráfica,Supervisora de Qualidade,Pós-Graduação,Casado,Evangélico,Não,Forte no estresse (PC-P),Excelente face ao estresse,Boa no estresse (PC-P),Boa diante do impacto do estresse (PC-P),Moderada no estresse (PC-P),Excelente no estresse,Excelente no estresse,Boa no estresse (PC-P)
13560,,,,Feminino,SP,SP,,Account Manager,Pós-Graduação,Solteiro,Católico,Sim,Moderada no estresse (PC-I),Fraca no estresse (PC-P),Boa no estresse (PC-P),Boa diante do impacto do estresse (PC-P),Boa no estresse (PC-P),Excelente no estresse,Boa no estresse (PC-P),Moderada no estresse (PC-P)
13561,Sobrepeso - bulimia,13 - 17 anos,Mais de um ano,Feminino,SP,SP,Arquiteta,Arquiteta,Pós-Graduação,Casado,Católico,Não,Forte no estresse (PC-I),Excelente face ao estresse,Excelente no estresse,Boa face ao impacto do estresse (PC-I),Excelente no estresse,Forte no estresse (PC-I),Boa no estresse (PC-I),Forte no estresse (PC-I)
13562,nenhuma,,,Feminino,SP,SP,marketing,empresaria,Pós-Graduação,Casado,Evangélico,Sim,Boa no estresse (PC-P),Boa no estresse (PC-P),Moderada no estresse (PC-P),Boa diante do impacto do estresse (PC-P),Boa no estresse (PC-P),Boa no estresse (PC-P),Boa no estresse (PC-P),Boa no estresse (PC-P)
13563,Cai de bicicleta na rua da Consolação em 2015,18 - 30 anos,Semanas,Feminino,SP,SP,arquiteta,Perkins + Will Arquitetura,Superior Completo,Solteiro,Outro,Sim,Excelente no estresse,Moderada no estresse (PC-P),Boa no estresse (PC-I),Forte diante do impacto do estresse (PC-I),Moderada no estresse (PC-I),Excelente no estresse,Boa no estresse (PC-P),Fraca no estresse (PC-P)
13564,Levei um tiro numa tentativa de assalto,13 - 17 anos,Meses,Masculino,SP,SP,Adm Empresas,analista de Carteiras,Superior Completo,Casado,Evangélico,Não,Forte no estresse (PC-P),Forte no estresse (PC-P),Boa no estresse (PC-P),Excelente face ao impacto do estresse (PC-E),Excelente no estresse,Excelente no estresse,Excelente no estresse,Excelente no estresse
13565,"morte mãe, problemas financeiros",31 - 49 anos,Mais de um ano,Masculino,SP,SP,contador,empresario construção civil (pintura),Superior Completo,Casado,Evangélico,Sim,Boa no estresse (PC-P),Boa no estresse (PC-P),Boa no estresse (PC-P),Forte diante do impacto do estresse (PC-I),Boa no estresse (PC-P),Boa no estresse (PC-P),Boa no estresse (PC-P),Boa no estresse (PC-P)
13566,quebrei o braço,7 - 12 anos,Meses,Masculino,SP,AC,,,1ª a 4ª série,Solteiro,Outro,Não,Moderada no estresse (PC-P),Boa no estresse (PC-P),Forte no estresse (PC-P),Boa diante do impacto do estresse (PC-P),Boa no estresse (PC-P),Excelente no estresse,Forte no estresse (PC-P),Boa no estresse (PC-P)
13567,separacao de um sócio,31 - 49 anos,Mais de um ano,Masculino,SP,SP,CONTADOR,EMPRESARIO,Superior Completo,Casado,Evangélico,Sim,Forte no estresse (PC-I),Fraca no estresse (PC-I),Boa no estresse (PC-I),Moderada diante do impacto do estresse (PC-I),Boa no estresse (PC-I),Forte no estresse (PC-I),Fraca no estresse (PC-I),Fraca no estresse (PC-I)
13568,Irmão teve câncer enquanto criança.,18 - 30 anos,Mais de um ano,Masculino,SP,SP,Designer,Designer/Diretor de Arte,Pós-Graduação,Solteiro,Evangélico,Sim,Excelente no estresse,Moderada no estresse (PC-P),Fraca no estresse (PC-I),Excelente face ao impacto do estresse (PC-E),Moderada no estresse (PC-I),Forte no estresse (PC-P),Boa no estresse (PC-P),Boa no estresse (PC-P)
13569,Divorcio,31 - 49 anos,Meses,Masculino,BA,SP,Economia,Dir Estratégia e Supply Chain,1ª a 4ª série,Casado,Evangélico,Sim,Boa no estresse (PC-P),Excelente face ao estresse,Excelente no estresse,Boa diante do impacto do estresse (PC-P),Boa no estresse (PC-P),Boa no estresse (PC-P),Boa no estresse (PC-P),Excelente no estresse
13570,,,,Masculino,SP,SP,Administrador,,Superior Completo,Casado,Outro,Não,Excelente no estresse,Forte no estresse (PC-P),Excelente no estresse,Forte diante do impacto do estresse (PC-I),Excelente no estresse,Forte no estresse (PC-P),Excelente no estresse,Forte no estresse (PC-I)
13571,Ictiose,Até 6 anos,Mais de um ano,Feminino,MG,SP,Psicóloga,Psicotécnico,Superior Completo,Casado,Evangélico,Não,Forte no estresse (PC-I),Boa no estresse (PC-P),Excelente no estresse,Boa diante do impacto do estresse (PC-P),Excelente no estresse,Boa no estresse (PC-P),Boa no estresse (PC-P),Boa no estresse (PC-P)
13572,taquicardia. Síndrome de Wolf,18 - 30 anos,Mais de um ano,Masculino,PR,SP,Psicologo,Avaliação Psicologica,Superior Completo,Casado,Evangélico,Não,Boa no estresse (PC-P),Boa no estresse (PC-P),Boa no estresse (PC-P),Boa face ao impacto do estresse (PC-I),Forte no estresse (PC-P),Moderada no estresse (PC-P),Forte no estresse (PC-I),Moderada no estresse (PC-I)
13573,Morte do meu pai,31 - 49 anos,Mais de um ano,Feminino,SP,SP,Odontologia,,Pós-Graduação,Casado,Evangélico,Sim,Boa no estresse (PC-P),Boa no estresse (PC-P),Excelente no estresse,Boa diante do impacto do estresse (PC-P),Excelente no estresse,Boa no estresse (PC-P),Moderada no estresse (PC-P),Moderada no estresse (PC-P)
13574,"Meu filho tentou suicidio mais de uma vez. Ele se corta, usuário de droga e bebida, depressivo, gay, bulêmico.",31 - 49 anos,Mais de um ano,Masculino,SP,SP,Publicitário,,Superior Completo,Casado,Evangélico,Não,Forte no estresse (PC-I),Excelente face ao estresse,Fraca no estresse (PC-I),Excelente face ao impacto do estresse (PC-E),Forte no estresse (PC-I),Boa no estresse (PC-P),Forte no estresse (PC-P),Boa no estresse (PC-P)
13575,Não me recordo,,,Feminino,SP,SP,Psicologia,Analista de Recursos Humanos,Superior Completo,Solteiro,Católico,Não,Boa no estresse (PC-I),Boa no estresse (PC-P),Boa no estresse (PC-I),Excelente face ao impacto do estresse (PC-E),Moderada no estresse (PC-I),Boa no estresse (PC-P),Forte no estresse (PC-P),Forte no estresse (PC-P)
13576,Depressão,18 - 30 anos,Mais de um ano,Feminino,SP,SP,Psicologa,Analista de RH,Superior Completo,Solteiro,Católico,Não,Boa no estresse (PC-P),Excelente face ao estresse,Boa no estresse (PC-P),Boa diante do impacto do estresse (PC-P),Boa no estresse (PC-P),Boa no estresse (PC-P),Excelente no estresse,Excelente no estresse
13577,Síndrome do Pânico,31 - 49 anos,Mais de um ano,Feminino,SP,SP,Psicologa,Psicologa/Coach,Pós-Graduação,Divorciado,Católico,Não,Excelente no estresse,Excelente face ao estresse,Excelente no estresse,Forte diante do impacto do estresse (PC-I),Excelente no estresse,Boa no estresse (PC-P),Forte no estresse (PC-I),Moderada no estresse (PC-I)
13578,Falecimento da minha mãe,7 - 12 anos,Mais de um ano,Feminino,SP,SP,Psicolgia,Coaching,Pós-Graduação,Solteiro,Católico,Sim,Forte no estresse (PC-P),Excelente face ao estresse,Excelente no estresse,Excelente face ao impacto do estresse (PC-E),Moderada no estresse (PC-I),Boa no estresse (PC-P),Excelente no estresse,Moderada no estresse (PC-I)
13579,,,,Feminino,SP,SP,Psicologa,Analista de RH,Pós-Graduação,Casado,Católico,Não,Boa no estresse (PC-P),Moderada no estresse (PC-P),Forte no estresse (PC-P),Moderada diante do impacto do estresse (PC-P),Moderada no estresse (PC-P),Boa no estresse (PC-P),Boa no estresse (PC-P),Boa no estresse (PC-P)
13580,Acidente de bicicleta,31 - 49 anos,Meses,Feminino,SP,SP,Advogada,Adm e Financeiro,Superior Completo,Casado,Evangélico,Sim,Boa no estresse (PC-P),Forte no estresse (PC-I),Boa no estresse (PC-P),Excelente face ao impacto do estresse (PC-E),Boa no estresse (PC-I),Excelente no estresse,Fraca no estresse (PC-P),Fraca no estresse (PC-P)
13581,Alergia sem diagnostico,31 - 49 anos,Mais de um ano,Feminino,SP,SP,Administracao,Vendas,Pós-Graduação,Casado,Católico,Não,Boa no estresse (PC-P),Boa no estresse (PC-P),Boa no estresse (PC-P),Forte diante do impacto do estresse (PC-I),Forte no estresse (PC-P),Boa no estresse (PC-P),Excelente no estresse,Boa no estresse (PC-P)
13582,Doenca do meu filho,31 - 49 anos,Mais de um ano,Feminino,SP,SP,Farmaceutica,Diretor comercial,Superior Completo,Casado,Evangélico,Sim,Excelente no estresse,Boa no estresse (PC-P),Excelente no estresse,Forte diante do impacto do estresse (PC-P),Boa no estresse (PC-P),Forte no estresse (PC-P),Moderada no estresse (PC-P),Fraca no estresse (PC-P)
13583,Apanhar na infância sem motivos,Até 6 anos,Mais de um ano,Masculino,SP,SP,,Visitador contábil,Superior Incompleto,Solteiro,Evangélico,Não,Forte no estresse (PC-I),Boa no estresse (PC-I),Fraca no estresse (PC-I),Excelente face ao impacto do estresse (PC-E),Fraca no estresse (PC-I),Moderada no estresse (PC-I),Fraca no estresse (PC-I),Excelente no estresse
13584,Zoeira no cursinho,13 - 17 anos,Meses,Masculino,SP,SP,finanças,,Pós-Graduação,Casado,Evangélico,Sim,Fraca no estresse (PC-I),Moderada no estresse (PC-I),Moderada no estresse (PC-I),Boa diante do impacto do estresse (PC-P),Boa no estresse (PC-P),Boa no estresse (PC-I),Fraca no estresse (PC-I),Forte no estresse (PC-I)
13585,Já tive meningite e fiquei internado 3 semanas.,31 - 49 anos,Semanas,Masculino,SP,SP,Adminstração de Empresas,Relações com Investidores,Pós-Graduação,Casado,Católico,Sim,Excelente no estresse,Moderada no estresse (PC-P),Forte no estresse (PC-I),Boa diante do impacto do estresse (PC-P),Excelente no estresse,Moderada no estresse (PC-P),Boa no estresse (PC-P),Moderada no estresse (PC-P)
13586,Brigas familiares,Até 6 anos,Mais de um ano,Masculino,MG,SP,Odontologia,Cirurgião-Dentista,Pós-Graduação,Solteiro,Outro,Sim,Boa no estresse (PC-P),Boa no estresse (PC-P),Excelente no estresse,Boa diante do impacto do estresse (PC-P),Excelente no estresse,Excelente no estresse,Excelente no estresse,Excelente no estresse
13630,gripe,,Mais de um ano,Masculino,SP,SP,testador de quest,testeiro,1ª a 4ª série,Casado,Católico,Sim,Boa no estresse (PC-P),Boa no estresse (PC-P),Boa no estresse (PC-P),Moderada diante do impacto do estresse (PC-P),Boa no estresse (PC-P),Fraca no estresse (PC-P),Forte no estresse (PC-I),Forte no estresse (PC-P)
14106,Acidente de carro da minha mãe e irmãos.,18 - 30 anos,Meses,Feminino,PR,SC,Especialista de TI,Governança de TI,Pós-Graduação,Casado,Católico,Sim,Moderada no estresse (PC-I),Excelente face ao estresse,Forte no estresse (PC-P),Excelente face ao impacto do estresse (PC-E),Boa no estresse (PC-I),Boa no estresse (PC-P),Fraca no estresse (PC-I),Boa no estresse (PC-P)
14107,Cirurgia para retirada de ovário,18 - 30 anos,Semanas,Feminino,SC,SC,Administração com Hab. Comercio Exterior,Especialista Planejamento de Vendas,Superior Completo,Casado,Católico,Sim,Excelente no estresse,Boa no estresse (PC-P),Excelente no estresse,Excelente face ao impacto do estresse (PC-E),Forte no estresse (PC-I),Excelente no estresse,Excelente no estresse,Excelente no estresse
14110,tireoide,18 - 30 anos,Alguns dias,Feminino,SP,SC,Adm em Neg Internacionais,Especialista de Suprimetos,Pós-Graduação,Casado,Católico,Sim,Excelente no estresse,Fraca no estresse (PC-I),Boa no estresse (PC-P),Boa face ao impacto do estresse (PC-I),Excelente no estresse,Boa no estresse (PC-P),Fraca no estresse (PC-I),Boa no estresse (PC-I)
14111,Divórcio dos meus pais,13 - 17 anos,Mais de um ano,Feminino,SC,SC,Advogada,Advogada,Pós-Graduação,Solteiro,Outro,Sim,Excelente no estresse,Forte no estresse (PC-P),Excelente no estresse,Boa diante do impacto do estresse (PC-P),Excelente no estresse,Moderada no estresse (PC-I),Boa no estresse (PC-P),Forte no estresse (PC-P)
14114,Acidente de carro,18 - 30 anos,Alguns dias,Masculino,SC,SC,Metalúrgico,coord. Desenvolvimento de Produto e Qualidade,Superior Completo,Casado,Católico,Não,Excelente no estresse,Boa no estresse (PC-I),Fraca no estresse (PC-I),Moderada diante do impacto do estresse (PC-I),Fraca no estresse (PC-I),Moderada no estresse (PC-I),Fraca no estresse (PC-I),Fraca no estresse (PC-I)
14115,Doença = Panqueatite aguda bilhar.,31 - 49 anos,Meses,Feminino,SC,SC,Engº de Fundição,Especialista,Superior Completo,Casado,Católico,Sim,Forte no estresse (PC-I),Moderada no estresse (PC-I),Boa no estresse (PC-I),Fraca diante do impacto do estresse (PC-I),Forte no estresse (PC-P),Boa no estresse (PC-P),Excelente no estresse,Excelente no estresse
14118,Descolamento de retina,31 - 49 anos,Mais de um ano,Masculino,SC,SC,Engenheiro Mecânico,Especialista em projetos e montagens,Pós-Graduação,Casado,Católico,Sim,Boa no estresse (PC-P),Boa no estresse (PC-P),Excelente no estresse,Boa diante do impacto do estresse (PC-P),Boa no estresse (PC-P),Boa no estresse (PC-P),Boa no estresse (PC-P),Moderada no estresse (PC-I)
14119,romprimento do ligamento do joelho esquerdo,18 - 30 anos,Mais de um ano,Feminino,SC,SC,"física, eng de produção e esp. seg do trabalh",especialista em segurança do trabalho,Pós-Graduação,Solteiro,Outro,Sim,Boa no estresse (PC-I),Excelente face ao estresse,Fraca no estresse (PC-I),Boa face ao impacto do estresse (PC-I),Forte no estresse (PC-I),Fraca no estresse (PC-I),Forte no estresse (PC-I),Forte no estresse (PC-I)
14121,Possível câncer,31 - 49 anos,Semanas,Feminino,SC,SC,"Especialidade Marketing, Comunicaçao e Negóci",Especialista de Adm.Vendas,Pós-Graduação,Casado,Católico,Sim,Excelente no estresse,Boa no estresse (PC-P),Excelente no estresse,Forte diante do impacto do estresse (PC-P),Excelente no estresse,Boa no estresse (PC-P),Boa no estresse (PC-P),Forte no estresse (PC-I)
14125,,,,Masculino,PR,SC,Engenharia,Especialista de processo,Pós-Graduação,Solteiro,Católico,Sim,Forte no estresse (PC-P),Boa no estresse (PC-P),Boa no estresse (PC-I),Excelente face ao impacto do estresse (PC-E),Boa no estresse (PC-P),Boa no estresse (PC-P),Boa no estresse (PC-P),Boa no estresse (PC-P)
14126,Fim de relacionamento.,18 - 30 anos,Meses,Masculino,SC,SC,Administrador,Vendas Internacionais,Pós-Graduação,União Estável,Outro,Sim,Forte no estresse (PC-I),Moderada no estresse (PC-I),Boa no estresse (PC-P),Boa diante do impacto do estresse (PC-P),Excelente no estresse,Moderada no estresse (PC-I),Excelente no estresse,Fraca no estresse (PC-P)
14128,Acidente,Até 6 anos,Meses,Masculino,SC,SC,Administrador de Empresas,Especialista de RH I,Superior Completo,Casado,Católico,Sim,Forte no estresse (PC-P),Fraca no estresse (PC-I),Fraca no estresse (PC-I),Moderada diante do impacto do estresse (PC-I),Fraca no estresse (PC-I),Excelente no estresse,Forte no estresse (PC-I),Excelente no estresse
14129,Nascimento do primeiro filho e a mudança de estado para trabalho,18 - 30 anos,Um ano,Masculino,PR,SC,,,Superior Completo,Casado,Evangélico,Não,Forte no estresse (PC-I),Excelente face ao estresse,Excelente no estresse,Excelente face ao impacto do estresse (PC-E),Excelente no estresse,Boa no estresse (PC-P),Excelente no estresse,Excelente no estresse
14132,Morte do meu irmão,18 - 30 anos,Mais de um ano,Masculino,SP,SP,Gestão Ambiental,Especialista de Meio Ambiente,Pós-Graduação,Casado,Católico,Sim,Forte no estresse (PC-I),Excelente face ao estresse,Forte no estresse (PC-I),Excelente face ao impacto do estresse (PC-E),Forte no estresse (PC-I),Excelente no estresse,Excelente no estresse,Excelente no estresse
14134,,,,Feminino,SP,SP,Pos graduação,Especialista em logistica,Pós-Graduação,Casado,Católico,Não,Excelente no estresse,Boa no estresse (PC-I),Forte no estresse (PC-I),Excelente face ao impacto do estresse (PC-E),Forte no estresse (PC-I),Excelente no estresse,Fraca no estresse (PC-I),Excelente no estresse
14135,OPERAÇÃO DO ESTOMAGO,18 - 30 anos,Meses,Masculino,SP,SP,DIREITO,TUPY SA,Pós-Graduação,Casado,Católico,Sim,Forte no estresse (PC-I),Fraca no estresse (PC-I),Boa no estresse (PC-I),Moderada diante do impacto do estresse (PC-I),Boa no estresse (PC-I),Fraca no estresse (PC-I),Fraca no estresse (PC-I),Fraca no estresse (PC-I)
14343,O falecimento de minha mãe,31 - 49 anos,Semanas,Feminino,DF,BA,Publicitária,Secretária de Cultura e Turismo,Pós-Graduação,Casado,Católico,Sim,Forte no estresse (PC-P),Excelente face ao estresse,Excelente no estresse,Excelente face ao impacto do estresse (PC-E),Excelente no estresse,Boa no estresse (PC-P),Excelente no estresse,Excelente no estresse
